,Date,Product Page Views,Installations,App Referrer,App Store Browse,App Store Search,Unavailable,Web Referrer
0,10/1/19,44,0,0,0,4,0,0
1,11/1/19,108,2,3,2,6,0,0
2,12/1/19,81,1,0,1,17,0,0
3,1/1/20,110,2,0,3,10,0,0
4,2/1/20,106,5,0,5,10,0,0
5,3/1/20,101,2,0,2,6,0,0
6,4/1/20,105,3,0,3,9,0,0
7,5/1/20,84,5,0,0,9,0,0
8,6/1/20,73,5,0,1,16,0,0
9,7/1/20,117,3,0,2,5,0,0
10,8/1/20,117,2,0,3,8,0,0
11,9/1/20,103,5,0,4,12,0,0
12,10/1/20,135,2,0,2,7,0,0
13,11/1/20,122,8,1,5,7,1,0
14,12/1/20,126,6,0,4,8,0,1
15,1/1/21,126,4,0,3,9,0,0
16,2/1/21,155,4,0,3,12,1,0
17,3/1/21,131,4,0,5,12,0,0
18,4/1/21,156,6,0,2,15,0,0
19,5/1/21,114,6,0,3,8,1,0
20,6/1/21,137,6,0,3,15,0,0
21,7/1/21,138,2,1,0,10,0,1
22,8/1/21,116,5,0,3,10,0,0
23,9/1/21,129,4,0,2,19,1,0
24,10/1/21,98,4,0,0,10,0,0
25,11/1/21,107,4,1,4,9,0,0
26,12/1/21,134,9,0,7,12,1,1
27,1/1/22,159,5,0,6,9,0,0
28,2/1/22,120,2,0,2,8,0,0
29,3/1/22,118,4,1,6,12,0,0
30,4/1/22,101,6,1,3,11,0,0
31,5/1/22,116,8,0,4,16,0,0
32,6/1/22,93,3,1,1,10,0,1
33,7/1/22,124,6,0,5,13,0,0
34,8/1/22,106,3,0,5,13,0,0
35,9/1/22,119,8,0,2,12,0,1
36,10/1/22,115,3,1,4,7,0,0
37,11/1/22,79,4,0,1,10,0,0
38,12/1/22,74,2,0,4,10,0,0
39,1/1/23,110,5,0,5,18,0,1
40,2/1/23,72,1,0,3,8,0,0
41,3/1/23,94,3,0,5,8,2,0
42,4/1/23,89,1,0,4,3,0,0
43,5/1/23,53,8,0,0,14,1,0
44,6/1/23,62,1,0,0,4,0,0
45,7/1/23,69,2,0,0,8,0,0
46,8/1/23,64,0,0,1,10,0,1
47,9/1/23,54,4,0,1,9,3,0
48,10/1/23,59,4,0,2,8,0,0
49,11/1/23,84,4,0,1,9,1,1
50,12/1/23,41,4,0,2,10,0,0
51,1/1/24,43,2,0,2,4,4,0
52,2/1/24,41,2,1,3,3,1,0
53,3/1/24,41,6,0,1,10,0,1
54,4/1/24,51,2,0,2,6,2,0
55,5/1/24,53,0,0,0,3,1,0
56,6/1/24,44,0,0,0,2,0,1
57,7/1/24,53,1,0,0,5,0,0
58,8/1/24,54,0,0,1,3,0,1
59,9/1/24,53,3,0,0,9,0,0
60,10/1/24,39,3,0,0,5,0,0
